frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,48,4.840677966101695,6.8338983050847455
1,0.27027027027027023,34,48,4.840677966101695,6.8338983050847455
2,0.5405405405405405,34,47,4.840677966101695,6.691525423728813
3,0.8108108108108107,34,48,4.840677966101695,6.8338983050847455
4,1.081081081081081,34,48,4.840677966101695,6.8338983050847455
5,1.3513513513513513,34,52,4.840677966101695,7.403389830508475
6,1.6216216216216215,34,60,4.840677966101695,8.542372881355933
7,1.8918918918918919,34,64,4.840677966101695,9.111864406779661
8,2.162162162162162,34,72,4.840677966101695,10.250847457627119
9,2.4324324324324325,34,76,4.840677966101695,10.820338983050847
10,2.7027027027027026,34,80,4.840677966101695,11.389830508474576
11,2.972972972972973,34,85,4.840677966101695,12.101694915254237
12,3.243243243243243,34,90,4.840677966101695,12.813559322033898
13,3.513513513513513,34,94,4.840677966101695,13.383050847457627
14,3.7837837837837838,34,96,4.840677966101695,13.667796610169491
15,4.0540540540540535,34,100,4.840677966101695,14.23728813559322
16,4.324324324324324,34,104,4.840677966101695,14.80677966101695
17,4.594594594594595,34,108,4.840677966101695,15.376271186440679
18,4.864864864864865,34,112,4.840677966101695,15.945762711864408
19,5.135135135135135,34,116,4.840677966101695,16.515254237288136
20,5.405405405405405,34,118,4.840677966101695,16.8
21,5.675675675675675,34,120,4.840677966101695,17.084745762711865
22,5.945945945945946,34,121,4.840677966101695,17.227118644067797
23,6.216216216216216,34,121,4.840677966101695,17.227118644067797
24,6.486486486486486,34,122,4.840677966101695,17.36949152542373
25,6.756756756756756,34,124,4.840677966101695,17.654237288135594
26,7.027027027027026,34,128,4.840677966101695,18.223728813559323
27,7.297297297297297,34,128,4.840677966101695,18.223728813559323
28,7.5675675675675675,34,132,4.840677966101695,18.79322033898305
29,7.837837837837838,34,136,4.840677966101695,19.36271186440678
30,8.108108108108107,34,138,4.840677966101695,19.647457627118644
31,8.378378378378377,34,140,4.840677966101695,19.93220338983051
32,8.648648648648647,34,142,4.840677966101695,20.216949152542373
