frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,40,4.840677966101695,5.694915254237288
1,0.27027027027027023,34,40,4.840677966101695,5.694915254237288
2,0.5405405405405405,34,40,4.840677966101695,5.694915254237288
3,0.8108108108108107,34,40,4.840677966101695,5.694915254237288
4,1.081081081081081,34,48,4.840677966101695,6.8338983050847455
5,1.3513513513513513,34,52,4.840677966101695,7.403389830508475
6,1.6216216216216215,34,60,4.840677966101695,8.542372881355933
7,1.8918918918918919,34,68,4.840677966101695,9.68135593220339
8,2.162162162162162,34,74,4.840677966101695,10.535593220338983
9,2.4324324324324325,34,80,4.840677966101695,11.389830508474576
10,2.7027027027027026,34,80,4.840677966101695,11.389830508474576
11,2.972972972972973,34,83,4.840677966101695,11.816949152542373
12,3.243243243243243,34,88,4.840677966101695,12.528813559322034
13,3.513513513513513,34,92,4.840677966101695,13.098305084745762
14,3.7837837837837838,34,95,4.840677966101695,13.525423728813559
15,4.0540540540540535,34,96,4.840677966101695,13.667796610169491
16,4.324324324324324,34,100,4.840677966101695,14.23728813559322
17,4.594594594594595,34,102,4.840677966101695,14.522033898305084
18,4.864864864864865,34,104,4.840677966101695,14.80677966101695
19,5.135135135135135,34,105,4.840677966101695,14.949152542372882
20,5.405405405405405,34,104,4.840677966101695,14.80677966101695
21,5.675675675675675,34,105,4.840677966101695,14.949152542372882
22,5.945945945945946,34,109,4.840677966101695,15.518644067796611
23,6.216216216216216,34,112,4.840677966101695,15.945762711864408
24,6.486486486486486,34,115,4.840677966101695,16.372881355932204
25,6.756756756756756,34,117,4.840677966101695,16.65762711864407
26,7.027027027027026,34,120,4.840677966101695,17.084745762711865
27,7.297297297297297,34,122,4.840677966101695,17.36949152542373
28,7.5675675675675675,34,124,4.840677966101695,17.654237288135594
29,7.837837837837838,34,126,4.840677966101695,17.938983050847458
30,8.108108108108107,34,128,4.840677966101695,18.223728813559323
31,8.378378378378377,34,128,4.840677966101695,18.223728813559323
32,8.648648648648647,34,128,4.840677966101695,18.223728813559323
33,8.91891891891892,34,128,4.840677966101695,18.223728813559323
34,9.18918918918919,34,127,4.840677966101695,18.08135593220339
35,9.45945945945946,34,126,4.840677966101695,17.938983050847458
36,9.72972972972973,34,128,4.840677966101695,18.223728813559323
37,10.0,34,128,4.840677966101695,18.223728813559323
38,10.27027027027027,34,132,4.840677966101695,18.79322033898305
39,10.54054054054054,34,134,4.840677966101695,19.077966101694916
40,10.81081081081081,34,136,4.840677966101695,19.36271186440678
41,11.08108108108108,34,138,4.840677966101695,19.647457627118644
42,11.35135135135135,34,140,4.840677966101695,19.93220338983051
43,11.621621621621621,34,141,4.840677966101695,20.07457627118644
44,11.891891891891891,34,142,4.840677966101695,20.216949152542373
