frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,40,4.840677966101695,5.694915254237288
1,0.27027027027027023,34,40,4.840677966101695,5.694915254237288
2,0.5405405405405405,34,40,4.840677966101695,5.694915254237288
3,0.8108108108108107,34,40,4.840677966101695,5.694915254237288
4,1.081081081081081,34,40,4.840677966101695,5.694915254237288
5,1.3513513513513513,34,52,4.840677966101695,7.403389830508475
6,1.6216216216216215,34,64,4.840677966101695,9.111864406779661
7,1.8918918918918919,34,71,4.840677966101695,10.108474576271187
8,2.162162162162162,34,77,4.840677966101695,10.96271186440678
9,2.4324324324324325,34,80,4.840677966101695,11.389830508474576
10,2.7027027027027026,34,84,4.840677966101695,11.959322033898305
11,2.972972972972973,34,86,4.840677966101695,12.24406779661017
12,3.243243243243243,34,90,4.840677966101695,12.813559322033898
13,3.513513513513513,34,94,4.840677966101695,13.383050847457627
14,3.7837837837837838,34,96,4.840677966101695,13.667796610169491
15,4.0540540540540535,34,100,4.840677966101695,14.23728813559322
16,4.324324324324324,34,104,4.840677966101695,14.80677966101695
17,4.594594594594595,34,108,4.840677966101695,15.376271186440679
18,4.864864864864865,34,111,4.840677966101695,15.803389830508475
19,5.135135135135135,34,112,4.840677966101695,15.945762711864408
20,5.405405405405405,34,115,4.840677966101695,16.372881355932204
21,5.675675675675675,34,117,4.840677966101695,16.65762711864407
22,5.945945945945946,34,120,4.840677966101695,17.084745762711865
23,6.216216216216216,34,121,4.840677966101695,17.227118644067797
24,6.486486486486486,34,122,4.840677966101695,17.36949152542373
25,6.756756756756756,34,121,4.840677966101695,17.227118644067797
26,7.027027027027026,34,121,4.840677966101695,17.227118644067797
27,7.297297297297297,34,124,4.840677966101695,17.654237288135594
28,7.5675675675675675,34,127,4.840677966101695,18.08135593220339
29,7.837837837837838,34,128,4.840677966101695,18.223728813559323
30,8.108108108108107,34,128,4.840677966101695,18.223728813559323
31,8.378378378378377,34,132,4.840677966101695,18.79322033898305
32,8.648648648648647,34,135,4.840677966101695,19.220338983050848
33,8.91891891891892,34,137,4.840677966101695,19.505084745762712
34,9.18918918918919,34,138,4.840677966101695,19.647457627118644
35,9.45945945945946,34,140,4.840677966101695,19.93220338983051
36,9.72972972972973,34,141,4.840677966101695,20.07457627118644
37,10.0,34,141,4.840677966101695,20.07457627118644
38,10.27027027027027,34,140,4.840677966101695,19.93220338983051
39,10.54054054054054,34,138,4.840677966101695,19.647457627118644
40,10.81081081081081,34,134,4.840677966101695,19.077966101694916
41,11.08108108108108,34,136,4.840677966101695,19.36271186440678
42,11.35135135135135,34,139,4.840677966101695,19.789830508474576
43,11.621621621621621,34,142,4.840677966101695,20.216949152542373
44,11.891891891891891,34,144,4.840677966101695,20.501694915254237
