frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
0,0.0,34,52,4.840677966101695,7.403389830508475
1,0.27027027027027023,34,48,4.840677966101695,6.8338983050847455
2,0.5405405405405405,34,48,4.840677966101695,6.8338983050847455
3,0.8108108108108107,34,1054,4.840677966101695,150.06101694915253
4,1.081081081081081,34,50,4.840677966101695,7.11864406779661
5,1.3513513513513513,34,48,4.840677966101695,6.8338983050847455
6,1.6216216216216215,34,48,4.840677966101695,6.8338983050847455
7,1.8918918918918919,34,51,4.840677966101695,7.261016949152542
8,2.162162162162162,34,92,4.840677966101695,13.098305084745762
9,2.4324324324324325,34,55,4.840677966101695,7.830508474576272
10,2.7027027027027026,34,52,4.840677966101695,7.403389830508475
11,2.972972972972973,34,1054,4.840677966101695,150.06101694915253
12,3.243243243243243,34,192,4.840677966101695,27.335593220338982
13,3.513513513513513,652,1054,92.8271186440678,150.06101694915253
14,3.7837837837837838,34,1054,4.840677966101695,150.06101694915253
15,4.0540540540540535,1032,1054,146.92881355932204,150.06101694915253
16,4.324324324324324,34,1054,4.840677966101695,150.06101694915253
17,4.594594594594595,1032,1054,146.92881355932204,150.06101694915253
18,4.864864864864865,1031,1054,146.7864406779661,150.06101694915253
19,5.135135135135135,1028,1054,146.3593220338983,150.06101694915253
20,5.405405405405405,1024,1054,145.78983050847458,150.06101694915253
21,5.675675675675675,34,1054,4.840677966101695,150.06101694915253
22,5.945945945945946,1008,1054,143.51186440677967,150.06101694915253
23,6.216216216216216,34,208,4.840677966101695,29.6135593220339
24,6.486486486486486,924,1054,131.55254237288136,150.06101694915253
25,6.756756756756756,900,1054,128.135593220339,150.06101694915253
26,7.027027027027026,34,208,4.840677966101695,29.6135593220339
27,7.297297297297297,34,192,4.840677966101695,27.335593220338982
28,7.5675675675675675,34,184,4.840677966101695,26.196610169491525
29,7.837837837837838,34,1054,4.840677966101695,150.06101694915253
30,8.108108108108107,34,1054,4.840677966101695,150.06101694915253
31,8.378378378378377,34,1054,4.840677966101695,150.06101694915253
32,8.648648648648647,34,1054,4.840677966101695,150.06101694915253
33,8.91891891891892,34,1054,4.840677966101695,150.06101694915253
34,9.18918918918919,34,1054,4.840677966101695,150.06101694915253
35,9.45945945945946,34,1054,4.840677966101695,150.06101694915253
36,9.72972972972973,1008,1054,143.51186440677967,150.06101694915253
37,10.0,592,1054,84.28474576271186,150.06101694915253
38,10.27027027027027,992,1054,141.23389830508475,150.06101694915253
39,10.54054054054054,34,1054,4.840677966101695,150.06101694915253
40,10.81081081081081,34,1054,4.840677966101695,150.06101694915253
41,11.08108108108108,34,1054,4.840677966101695,150.06101694915253
42,11.35135135135135,34,208,4.840677966101695,29.6135593220339
43,11.621621621621621,984,1054,140.0949152542373,150.06101694915253
44,11.891891891891891,984,1054,140.0949152542373,150.06101694915253
45,12.162162162162161,34,212,4.840677966101695,30.18305084745763
46,12.432432432432432,1008,1054,143.51186440677967,150.06101694915253
47,12.702702702702702,34,1054,4.840677966101695,150.06101694915253
48,12.972972972972972,34,1054,4.840677966101695,150.06101694915253
49,13.243243243243242,34,1054,4.840677966101695,150.06101694915253
50,13.513513513513512,34,1054,4.840677966101695,150.06101694915253
51,13.783783783783782,34,1054,4.840677966101695,150.06101694915253
52,14.054054054054053,976,1054,138.95593220338984,150.06101694915253
53,14.324324324324323,34,1054,4.840677966101695,150.06101694915253
54,14.594594594594595,34,368,4.840677966101695,52.39322033898305
55,14.864864864864865,34,1054,4.840677966101695,150.06101694915253
56,15.135135135135135,34,1054,4.840677966101695,150.06101694915253
57,15.405405405405405,34,180,4.840677966101695,25.627118644067796
58,15.675675675675675,34,1054,4.840677966101695,150.06101694915253
59,15.945945945945946,34,1054,4.840677966101695,150.06101694915253
60,16.216216216216214,34,1054,4.840677966101695,150.06101694915253
61,16.486486486486484,34,1054,4.840677966101695,150.06101694915253
62,16.756756756756754,34,1054,4.840677966101695,150.06101694915253
63,17.027027027027025,34,196,4.840677966101695,27.90508474576271
64,17.297297297297295,34,1054,4.840677966101695,150.06101694915253
65,17.56756756756757,34,181,4.840677966101695,25.769491525423728
66,17.83783783783784,34,1054,4.840677966101695,150.06101694915253
67,18.10810810810811,34,188,4.840677966101695,26.766101694915253
68,18.37837837837838,34,187,4.840677966101695,26.62372881355932
69,18.64864864864865,34,208,4.840677966101695,29.6135593220339
70,18.91891891891892,34,1052,4.840677966101695,149.77627118644068
71,19.18918918918919,34,192,4.840677966101695,27.335593220338982
72,19.45945945945946,34,192,4.840677966101695,27.335593220338982
73,19.72972972972973,34,191,4.840677966101695,27.19322033898305
74,20.0,34,208,4.840677966101695,29.6135593220339
75,20.27027027027027,34,1054,4.840677966101695,150.06101694915253
76,20.54054054054054,34,1054,4.840677966101695,150.06101694915253
77,20.81081081081081,34,180,4.840677966101695,25.627118644067796
78,21.08108108108108,34,180,4.840677966101695,25.627118644067796
79,21.35135135135135,34,181,4.840677966101695,25.769491525423728
80,21.62162162162162,34,184,4.840677966101695,26.196610169491525
81,21.89189189189189,34,208,4.840677966101695,29.6135593220339
82,22.16216216216216,34,1036,4.840677966101695,147.49830508474577
83,22.43243243243243,34,1054,4.840677966101695,150.06101694915253
84,22.7027027027027,904,1054,128.70508474576272,150.06101694915253
85,22.972972972972972,34,196,4.840677966101695,27.90508474576271
86,23.243243243243242,34,1054,4.840677966101695,150.06101694915253
87,23.513513513513512,34,1054,4.840677966101695,150.06101694915253
88,23.783783783783782,34,1054,4.840677966101695,150.06101694915253
89,24.054054054054053,34,1040,4.840677966101695,148.0677966101695
90,24.324324324324323,966,1054,137.5322033898305,150.06101694915253
91,24.594594594594593,34,208,4.840677966101695,29.6135593220339
92,24.864864864864863,34,1054,4.840677966101695,150.06101694915253
93,25.135135135135133,34,1052,4.840677966101695,149.77627118644068
94,25.405405405405403,34,1054,4.840677966101695,150.06101694915253
95,25.675675675675674,34,1054,4.840677966101695,150.06101694915253
96,25.945945945945944,34,1054,4.840677966101695,150.06101694915253
97,26.216216216216214,956,1054,136.1084745762712,150.06101694915253
98,26.486486486486484,34,180,4.840677966101695,25.627118644067796
99,26.756756756756754,34,208,4.840677966101695,29.6135593220339
100,27.027027027027025,34,1054,4.840677966101695,150.06101694915253
101,27.297297297297295,34,1054,4.840677966101695,150.06101694915253
102,27.567567567567565,34,936,4.840677966101695,133.26101694915255
103,27.837837837837835,34,1054,4.840677966101695,150.06101694915253
104,28.108108108108105,34,208,4.840677966101695,29.6135593220339
105,28.378378378378375,34,208,4.840677966101695,29.6135593220339
106,28.648648648648646,961,1054,136.82033898305085,150.06101694915253
107,28.91891891891892,34,1054,4.840677966101695,150.06101694915253
108,29.18918918918919,956,1054,136.1084745762712,150.06101694915253
109,29.45945945945946,34,1054,4.840677966101695,150.06101694915253
110,29.72972972972973,34,1054,4.840677966101695,150.06101694915253
111,30.0,931,1054,132.5491525423729,150.06101694915253
112,30.27027027027027,34,1054,4.840677966101695,150.06101694915253
113,30.54054054054054,584,1054,83.1457627118644,150.06101694915253
114,30.81081081081081,34,1054,4.840677966101695,150.06101694915253
115,31.08108108108108,34,1054,4.840677966101695,150.06101694915253
116,31.35135135135135,34,1054,4.840677966101695,150.06101694915253
117,31.62162162162162,954,1054,135.8237288135593,150.06101694915253
118,31.89189189189189,34,180,4.840677966101695,25.627118644067796
119,32.16216216216216,34,1054,4.840677966101695,150.06101694915253
120,32.43243243243243,34,1054,4.840677966101695,150.06101694915253
121,32.7027027027027,952,1054,135.53898305084746,150.06101694915253
122,32.97297297297297,34,1054,4.840677966101695,150.06101694915253
123,33.24324324324324,624,1054,88.8406779661017,150.06101694915253
124,33.51351351351351,648,1054,92.25762711864407,150.06101694915253
125,33.78378378378378,34,148,4.840677966101695,21.071186440677966
126,34.05405405405405,34,1054,4.840677966101695,150.06101694915253
127,34.32432432432432,856,1054,121.87118644067797,150.06101694915253
128,34.59459459459459,856,1054,121.87118644067797,150.06101694915253
129,34.86486486486486,34,1054,4.840677966101695,150.06101694915253
130,35.13513513513514,34,216,4.840677966101695,30.752542372881358
131,35.4054054054054,1000,1054,142.3728813559322,150.06101694915253
132,35.67567567567568,648,1054,92.25762711864407,150.06101694915253
133,35.945945945945944,34,1054,4.840677966101695,150.06101694915253
134,36.21621621621622,892,1054,126.99661016949153,150.06101694915253
135,36.486486486486484,34,182,4.840677966101695,25.91186440677966
136,36.75675675675676,34,952,4.840677966101695,135.53898305084746
137,37.027027027027025,34,1054,4.840677966101695,150.06101694915253
138,37.2972972972973,34,1054,4.840677966101695,150.06101694915253
139,37.567567567567565,34,1054,4.840677966101695,150.06101694915253
140,37.83783783783784,34,1054,4.840677966101695,150.06101694915253
141,38.108108108108105,624,1054,88.8406779661017,150.06101694915253
142,38.37837837837838,34,1054,4.840677966101695,150.06101694915253
143,38.648648648648646,34,1054,4.840677966101695,150.06101694915253
144,38.91891891891892,34,1054,4.840677966101695,150.06101694915253
145,39.189189189189186,34,1054,4.840677966101695,150.06101694915253
146,39.45945945945946,34,1054,4.840677966101695,150.06101694915253
147,39.729729729729726,34,1054,4.840677966101695,150.06101694915253
